TIME,PDCSAP_FLUX
3195.286338462254,15304.132
3195.3067700809843,15305.242
3195.327201799708,15299.898
3195.3476336182066,15293.508
3195.368065236704,15307.538
3195.388496954729,15294.822
3195.408928772762,15304.157
3195.429360390328,15303.647
3195.4497921078873,15300.401
3195.470223925222,15298.854
3195.490655542322,15296.738
3195.5110873594167,15308.828
3195.531519076052,15306.277
3195.5519507926874,15305.834
3195.572383,15302.198
3195.5928142250195,15290.896
3195.6132459409564,
3195.633677656886,15310.353
3195.654109372357,15307.162
3195.6745410878284,15311.384
3195.6949728028267,15310.285
3195.715404517832,15310.619
3195.735836232605,15304.363
3195.7562679473704,15304.754
3195.7766996616774,15305.111
3195.7971312759837,15294.417
3195.8175630898186,15309.364
3195.837995,15304.932
3195.8584264172678,15299.151
3195.878858230637,15299.029
3195.8992899440127,15296.729
3195.919721656923,15302.45
3195.9401533698256,15299.101
3195.960585082503,15297.129
3195.981016894948,15301.867
3196.0014485071515,15302.093
3196.0218802191303,15300.501
3196.0423120311025,15306.122
3196.0627437428484,15294.033
3196.0831753543607,15293.475
3196.1036071656417,15302.508
3196.124038876682,15302.098
3196.1444704874957,15292.11
3196.164902298304,15294.126
3196.1853340088855,15292.578
3196.2057656192337,15291.483
3196.2261974293506,15302.258
3196.2466291392266,15295.0205
3196.267060749109,15290.447
3196.287492558753,15289.666
3196.307924267938,15278.592
3196.3283558773546,15286.874
3196.3487876863073,
3196.369219395019,15296.966
3196.389651203739,15289.507
3196.4100828122173,15302.319
3196.4305145204708,15301.506
3196.4509462284914,15291.589
3196.471377936512,15295.342
3196.4918096440597,15297.299
3196.5122413516146,15290.837
3196.5326730589295,15290.336
3196.553104766019,15292.882
3196.573536473108,15289.886
3196.5939681797317,15295.172
3196.614399886348,15290.824
3196.6348316927397,15287.465
3196.6552632988896,15284.748
3196.6756950050476,15280.966
3196.6961268107407,15279.419
3196.7165584164322,15283.483
3196.7369901218844,15287.364
3196.757421927112,15280.962
3196.7778535323305,15277.128
3196.7982853370922,15279.675
3196.8187170418532,15281.295
3196.8391486463806,15272.231
3196.8595804509023,15275.179
3196.880012154965,15275.097
3196.900444,15287.029
3196.9208755628497,15290.395
3196.9413072664465,15270.695
3196.9617389698033,15284.117
3196.9821706731673,15282.753
3197.0026023760656,15285.485
3197.0230340789567,15281.545
3197.043465781622,15274.952
3197.0638974842877,15281.719
3197.084329186713,
3197.104760988681,15282.764
3197.125192590647,15282.359
3197.145624292607,15282.278
3197.1660559941083,15285.201
3197.1864876956097,15281.965
3197.2069194968717,15274.808
3197.2273510979066,15279.42
3197.2477827989424,15283.127
3197.268214599506,15280.442
3197.288646200075,15278.917
3197.3090779004124,15265.71
3197.3295097005102,15280.833
3197.349941300614,15273.293
3197.3703730004854,15271.769
3197.3908048001176,15281.086
3197.4112363995227,15275.7
3197.4316680989286,15282.061
3197.4520998978624,15277.192
3197.4725315968026,15277.866
3197.492963195509,15274.584
3197.513395,15268.163
3197.5338266926847,15270.628
3197.554258290693,15276.788
3197.574690088928,
3197.595121786704,15276.132
3197.6155535844737,15282.442
3197.635985182016,15269.347
3197.6564168793266,15274.949
3197.6768486763976,15268.621
3197.6972802734745,15279.097
3197.7177119700864,15273.002
3197.7381437669246,15251.652
3197.758575363303,15117.591
3197.779007059682,14948.052
3197.799438855589,14865.497
3197.8198704517345,15016.511
3197.840302147415,15151.969
3197.8607339428563,15259.033
3197.8811655383033,15271.972
3197.9015972335183,15275.602
3197.9220290287267,15267.025
3197.942460623708,15265.9
3197.9628923182245,15271.462
3197.9833241127344,15262.398
3198.003756,15274.111
3198.0241875015345,15271.05
3198.044619195345,15264.253
3198.065050789395,15270.992
3198.085482582981,15259.281
3198.105914276559,15273.501
3198.1263458699104,15272.943
