TIME,TIMECORR,CADENCENO,SAP_FLUX,SAP_FLUX_ERR,SAP_BKG,SAP_BKG_ERR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,SAP_QUALITY,PSF_CENTR1,PSF_CENTR1_ERR,PSF_CENTR2,PSF_CENTR2_ERR,MOM_CENTR1,MOM_CENTR1_ERR,MOM_CENTR2,MOM_CENTR2_ERR,POS_CORR1,POS_CORR2
3157.4462505228657,0.005497703,149191,13010.301,3.9554248,1864.1865,0.6890395,15269.361,4.754241,0,,,,,967.8723036592282,0.0004774095,785.3289735381348,0.00038626415,-0.14888132,-0.062533125
3157.4666829191265,0.005496499,149192,13010.807,3.9564047,1863.0654,0.68571985,15273.915,4.7566957,0,,,,,967.8502142531887,0.0004778456,785.3278788450407,0.00038599907,-0.17289777,-0.06472626
3157.4871154149296,0.005495295,149193,13017.603,3.9536803,1864.0718,0.6805456,15284.6045,4.7561407,0,,,,,967.8266437836135,0.0004787388,785.3273121973997,0.00038592741,-0.19777925,-0.06519136
3157.5075477098,0.00549409,149194,13007.298,3.9537044,1864.6322,0.6826928,15281.56,4.7578793,0,,,,,967.8008751731172,0.0004797507,785.3259231143282,0.00038585355,-0.22292422,-0.068001606
3157.5279801046636,0.0054928847,149195,13007.181,3.9517174,1862.1802,0.68174416,15285.543,4.757117,0,,,,,967.7767406941796,0.0004806981,785.3237778410183,0.0003856286,-0.24776702,-0.07041655
3157.548412598604,0.0054916786,149196,12996.161,3.9525297,1866.6626,0.6820567,15280.423,4.7592783,0,,,,,967.7518513668277,0.00048226627,785.3227489758591,0.00038580922,-0.27133015,-0.07176813
3157.568844892543,0.0054904725,149197,12995.655,3.9541466,1865.0409,0.68207794,15288.642,4.762587,8192,,,,,967.7280687645339,0.00048375057,785.3219502858042,0.00038568958,-0.29592735,-0.07201596
3157.589277385545,0.0054892655,149198,12989.741,3.9506264,1864.7931,0.68518114,15292.508,4.7589207,0,,,,,967.7029831558534,0.00048519883,785.3195135394789,0.00038561845,-0.32067344,-0.07443578
3157.6097097780876,0.005488058,149199,12975.759,3.950607,1862.8363,0.68245,15291.932,4.758544,0,,,,,967.6771451901759,0.0004868843,785.3165436559764,0.0003856702,-0.34492987,-0.078633636
3157.630142070164,0.00548685,149200,12972.564,3.95132,1861.3877,0.67988795,15307.742,4.7600846,0,,,,,967.646825815056,0.00048862497,785.3156010601446,0.00038526914,-0.37330225,-0.078804955
3157.6505745617687,0.005485642,149201,12934.378,3.9474201,1864.8416,0.6851807,15276.317,4.754971,0,,,,,967.6216443016026,0.0004917858,785.3131316027851,0.00038616432,-0.3965178,-0.08194
3157.6710069529145,0.005484433,149202,12928.616,3.9451451,1862.5844,0.6832678,15287.583,4.75103,0,,,,,967.5981610749698,0.00049311307,785.3118164593143,0.00038576088,-0.41837505,-0.08287471
3157.691439243594,0.0054832236,149203,12917.002,3.9466357,1862.7666,0.684232,15293.639,4.751424,0,,,,,967.5733776447291,0.00049527123,785.3098001585226,0.0003857761,-0.4414752,-0.08423482
3157.711871733336,0.0054820133,149204,12885.08,3.941568,1863.7491,0.6834374,15276.804,4.741879,0,,,,,967.5446945335623,0.00049838005,785.3097712023974,0.00038612427,-0.46778026,-0.0853222
3157.732304023084,0.005480803,149205,12858.428,3.9418771,1865.2893,0.68437177,15277.751,4.7362866,0,,,,,967.5120200017644,0.0005015851,785.3082291656285,0.00038630344,-0.49594235,-0.087106414
3157.7527364119014,0.005479592,149206,12830.6,3.9371274,1863.9535,0.6831073,15277.121,4.7196274,0,,,,,967.4809591576814,0.0005048511,785.3048013828264,0.00038645664,-0.52488095,-0.090351544
3157.7731689007123,0.0054783807,149207,12815.832,3.938271,1864.849,0.68391144,15287.55,4.706965,0,,,,,967.4551522560673,0.0005070089,785.3038211636805,0.00038595774,-0.54920363,-0.09170713
3157.7936011885977,0.0054771686,149208,12775.593,3.935035,1863.8916,0.6847463,15273.269,4.6810427,32768,,,,,967.4230205602322,0.00051107514,785.3006943721334,0.00038663187,-0.575124,-0.09397406
3157.814033576018,0.005475956,149209,12742.337,3.930937,1864.1069,0.6892249,15266.795,4.646203,0,,,,,967.3985381479276,0.0005142833,785.3004144533387,0.00038693607,-0.6017902,-0.094923444
3157.8344660629664,0.005474743,149210,12713.971,3.9309676,1862.5702,0.6894004,15271.384,4.6063514,0,,,,,967.3723807839099,0.0005170945,785.2973601552899,0.00038696136,-0.62689054,-0.09768165
3157.854898449921,0.00547353,149211,12956.216,3.9504929,1865.8156,0.68027776,,,1048576,,,,,967.6337962215963,0.0004905192,785.3176295335593,0.00038571373,-0.38108018,-0.076733984
